	decimal_date	average	interpolated	Date
694	2016.042	402.52	402.52	2016-1
695	2016.125	404.04	404.04	2016-2
696	2016.208	404.83	404.83	2016-3
697	2016.292	407.42	407.42	2016-4
698	2016.375	407.7	407.7	2016-5
699	2016.458	406.81	406.81	2016-6
700	2016.542	404.39	404.39	2016-7
701	2016.625	402.25	402.25	2016-8
702	2016.708	401.03	401.03	2016-9
703	2016.792	401.57	401.57	2016-10
704	2016.875	403.53	403.53	2016-11
705	2016.958	404.48	404.48	2016-12
