	decimal_date	average	interpolated	Date
99	1966.458	323.75	323.75	1966-6
100	1966.542	322.39	322.39	1966-7
101	1966.625	320.37	320.37	1966-8
102	1966.708	318.64	318.64	1966-9
103	1966.792	318.1	318.1	1966-10
104	1966.875	319.79	319.79	1966-11
105	1966.958	321.08	321.08	1966-12
106	1967.042	322.07	322.07	1967-1
107	1967.125	322.5	322.5	1967-2
108	1967.208	323.04	323.04	1967-3
109	1967.292	324.42	324.42	1967-4
110	1967.375	325.0	325.0	1967-5
111	1967.458	324.09	324.09	1967-6
112	1967.542	322.55	322.55	1967-7
113	1967.625	320.92	320.92	1967-8
114	1967.708	319.31	319.31	1967-9
115	1967.792	319.31	319.31	1967-10
116	1967.875	320.72	320.72	1967-11
117	1967.958	321.96	321.96	1967-12
118	1968.042	322.57	322.57	1968-1
119	1968.125	323.15	323.15	1968-2
120	1968.208	323.89	323.89	1968-3
121	1968.292	325.02	325.02	1968-4
122	1968.375	325.57	325.57	1968-5
123	1968.458	325.36	325.36	1968-6
124	1968.542	324.14	324.14	1968-7
125	1968.625	322.03	322.03	1968-8
126	1968.708	320.41	320.41	1968-9
127	1968.792	320.25	320.25	1968-10
128	1968.875	321.31	321.31	1968-11
129	1968.958	322.84	322.84	1968-12
130	1969.042	324.0	324.0	1969-1
131	1969.125	324.42	324.42	1969-2
132	1969.208	325.64	325.64	1969-3
133	1969.292	326.66	326.66	1969-4
134	1969.375	327.34	327.34	1969-5
135	1969.458	326.76	326.76	1969-6
136	1969.542	325.88	325.88	1969-7
137	1969.625	323.67	323.67	1969-8
138	1969.708	322.38	322.38	1969-9
139	1969.792	321.78	321.78	1969-10
140	1969.875	322.85	322.85	1969-11
141	1969.958	324.11	324.11	1969-12
142	1970.042	325.03	325.03	1970-1
143	1970.125	325.99	325.99	1970-2
144	1970.208	326.87	326.87	1970-3
145	1970.292	328.13	328.13	1970-4
146	1970.375	328.07	328.07	1970-5
147	1970.458	327.66	327.66	1970-6
148	1970.542	326.35	326.35	1970-7
149	1970.625	324.69	324.69	1970-8
150	1970.708	323.1	323.1	1970-9
151	1970.792	323.16	323.16	1970-10
152	1970.875	323.98	323.98	1970-11
153	1970.958	325.13	325.13	1970-12
154	1971.042	326.17	326.17	1971-1
155	1971.125	326.68	326.68	1971-2
156	1971.208	327.18	327.18	1971-3
